ID,Name,Arabic Name,Alternative Name,Arabic Alternative Name,Library of Congress Name,Arabic Library of Congress Name,Also Known As,Arabic Also Known As,Documentation,Arabic Documentation,All Nisba IDs,Date of Death,Arabic Date of Death,Date of Birth,Arabic Date of Birth,Group ID,Reference Number,Hidden
1,ʿAbbās b. Abī Bakr,عباس بن أبي بكر,,,,,,,,,[1924][268],,,,,,,
2,ʿAbbās b. Muḥammad Aknan,عباس بن محمد اكنن,,,,,,,,,,,,,,,,
3,ʿAbbās b. Muḥammad b. al-Sīdi,عباس بن محمد بن السيد,,,,,,,,,,,,,,,,
4,ʿAbd ʿAllāh b. Muḥammad Qadārada,عبد الله بن محمد قداردة,,,,,,,,,,,,,,,,
5,ʿAbd ... b. ʿAlī Yūsuf al-Fāsī,عبد ... بن علي يوسف الفاسي,,,,,,,,,[17],,,,,,,
6,ʿAbd al-ʿAlī b. ʿAbd al-Mālik b. ʿUmar al-Qurashī al-Butiji,عبد العالي بن عبد الملك بن عمر القرشي البوتيجي,,,,,,,,,[176][1929],,,,,,,
7,ʿAbd al-ʿAzīz al-Dīrīnī,عبد العزيز الديريني‏ ‬,,,,,,,,,[1269],697/1297-8,,,,,,
8,ʿAbd al-ʿAzīz b. ʿAbd al-Salām al-Salamī,عبد العزيز بن عبد السلام السلمي,,,,,ʿIzz al-Dīn,عز الدين,,,[696],,,,,,,
11,ʿAbd al-ʿAzīz b. ʿAbd al-Waḥīd al-Lamaṭī al-Miknasī,عبد العزيز بن عبد الوحيد اللمطي المكنسي,ʿAbd al-ʿAzīz b. ʿAbd al-Waḥīd al-Fāsī,عبد العزيز إبن عبد الواحد الفاسي,,,,,GAL S I 161; Zirikli IV 21,,[1713][17][91],880/1474   or 1557,,,,,,
13,ʿAbd al-ʿAzīz b. Aḥmad b. Saʿīd al-Dīrīnī al-Damīrī,عبد العزيز بن أحمد بن سعيد الديرني الدميري,,,,,ʿAbd al-ʿAzīz al-Dīrīnī,عبد العزيز الديريني,,,[1269][2340],607/1297,,,,,,
14,ʿAbd al-ʿAzīz b. al-Ḥasan al-Zayyātī,عبد العزيز بن الحسن الزياتي,,,,,,,,,[80],1055/1645,,,,,,
16,ʿAbd al-ʿAzīz b. al-Zayn,عبد العزيز بن الزين,,,,,,,"See also author # 6468, ʿAbd al-ʿAzīz b. Zayn b. Muḥammad Jubīhī al-Sῡqī, and author # 4823, Zayn b. ʿAbd al-ʿAzīz al-Jubahī.↵",,[1013][521],1355/1936-7,,,,,,
17,ʿAbd al-ʿAzīz b. Ibrāhīm,عبد العزيز بن إبراهيم,,,,,,,,,,,,,,,,
18,ʿAbd al-ʿAzīz b. Muḥammad b. ʿAlī b. Ibrāhīm b. Aḥmad al-Sūqī al-Jabihī,عبد العزيز بن محمد بن عالي بن إبراهيم بن أحمد السوقي الجبهي,,,,,,,,,[1965][521],,,,,,,
19,ʿAbd al-ʿAzīz b. Muḥammad Khalīl,عبد العزيز محمد خليل,,,,,,,,,,,,,,,,
21,ʿAbd al-Bāqī b. al-Amīn b. ʿAbd ad-Dāʾim ad-Daymānī,عبد الباقي بن الأمين بن عبد الدائم الديماني,,,,,,,Arabic Literature of Africa vol. V  p. 383,الأدب العربي في أفريقيا المجلد الخامس ص 383,[20],1230/1814-5,,,,11,,
23,ʿAbd al-Bāqi b. Yusuf al-Zurqānī,عبد الباقي بن يوسف الزرقاني,Muḥammad b. ʿAbd al-Bāqī al-Zurqānī,محمد بن عبد الباقي الزرقاني,http://id.loc.gov/authorities/names/no2006025851,,ʿAbd al-Bāqī,عبد الباقي,"GAL II 84, 318, S II 97-8, 438-9",,[40],1099/1688 or 1710,,1611,,,,
24,ʿAbd al-Bārī al-Rifāʿī al-ʿAshmāwī,عبد الباري الرفاعي العشماوي,,,,,ʿAshmāwī / ʿAbd al-Bārī,عشماوي / عبد الباري,GAL S II 435,,[1648][606],fl. 16th C,,,,,,
