ID,Nisba,Arabic Nisba
1,Fūdī,فودي
5,Ḥasanī,حسني
6,ʿAlawī,علوي
7,Jakanī,جكني
8,Abyayrī,أبييري
11,Tamīmī,تميمي
13,Anṣarī,أنصاري
14,Kuntī,كنتي
16,Kinānī,كناني
17,Fāsī,فاسي
20,Daymānī,ديماني
22,Lakhmī,لخمي
23,Ribāṭī,رباطي
25,Draʿī,درعي
26,Murādī,مرادي
28,Samsadī,سمسدي / شمسدي
29,Mālikī,مالكي
30,Tujībī,تجيبي
32,Tafjarūtī,تفجروتي
33,ʿAsqalānī,عسقلاني
34,Tirmidhī,ترمذي
36,Azdī,أزدي
38,Aṣbaḥī,أصبحي
39,Suyuṭī,سيوطي
40,Zurqānī,زرقاني
46,Yaʿqūbī,يعقوبي
47,ʿAdawī,عدوي
48,Majlisī,مجلسي
50,Burnusī,برنسي
52,Hawwārī,هواري
53,Jawzī,جوزي
54,Nawawī,نووي
55,ʿIrāqī,عراقي
56,Afundī,أفندي
58,Qasṭallānī,قسطلاني
59,Bayqūnī,بيقوني
61,Ghazālī,غزالي
64,Masʿūdī,مسعودي
67,Shādhilī,شاذلي
68,ʿAyyāshī,عياشي
70,Maṣmūdī,مصمودي
71,Barkannī,بركني
74,Bukhārī,بخاري
75,Zukrī,زكري
76,Manjūrī,منجوري
77,Thumalī,ثملي
78,Qayrawānī,قيرواني
79,Tūnisī,تونسي
80,Zayyātī,زياتي
81,Ṣanhājī,صنهاجي
82,Qurṭūbī,قرطبي
83,Jazarī,جزري
84,Tandaghī,تندغي
85,Iskandarī,إسكندري
86,Mawṣilī,موصلي
87,Ishbīlī,إشبيلي
91,Miknāsī,مكناسي
92,Rundī,رندي
93,Baydarī,بيدري
95,Kūfī,كوفي
96,Alfagha Ḥayballī,ألفغي
100,Barādhiʿī,براذعي
101,Nūrī,نوري
102,Buraʿī,برعي
103,Ghallāwī,غلاوي
104,Tatāʾī,تتائي
106,Kharshī,خرشي
112,Ḥalabī,حلبي
114,Muʿṭī,معطي
115,Wansharīsī,ونشريسي
116,Sharbāṭī,شرباطي
119,Jazāʾirī,جزائري
120,ʿUkbarī,عكبري
122,Ghānī,غاني
123,Sanhūrī,سنهوري
124,Amīrī,أميري
126,Shaybānī,شيباني
129,Fīshī,فيشي
130,Tāwudī,تاودي
132,Manāwī,مناوي
133,Andalusī,أندلسي
136,Khafājī,خفاجي
137,Rumāṣī,روماصي
138,Bannānī,بناني
139,Namarī,نمري
140,Jilānī,جيلاني
141,Zanātī,زناتي
142,Sijilmāsī,سجلماسي
144,Qalashānī,قلشاني
146,Laqānī,لقاني
147,Judhāmī,جذامي
148,Sūsī,سوسي
149,Sūdānī,سوداني
150,Lawātī,لواتي
151,Shamshawī,شمشوي
152,Ragrāgī (Rajrājī ?),ركراكي (رجراجي ؟)
154,Yaznāshī,يزناشي
155,Shuqrāṭisī,شقراطسي
156,Baṣrī,بصري
157,Mūrītānī,موريتاني
158,Jaʿbarī,جعبري
161,Busātī,بصادي
162,Qādirī,قادري
163,Buqāʿī,بقاعي
164,Jūwaynī,جويني
165,Shāfiʿī,شافعي
172,Walātī,ولاتي
174,Ghadāmisī,غدامسي
176,Qurashī,قرشي
177,ʿAbdī,عبدي
178,Bakrī,بكري
179,Khuzāʿī,خزاعي
180,Muzanī,مزني
181,Janwaʿī,جنوعي
182,Tusūlī,تسولي
186,Dīnawarī,دينوري
187,Taftāzānī,تفتازاني
188,Qārrī,قاري
193,Tīshītī,تيشيتي
194,Kashānī,كشاني
195,Tustūrī,تستري
197,Wazzānī,وزاني
200,Fiyrūzābādī,فيروزابادي‏
202,Ṭāʾī,طائي
203,Fishtālī,فشتالي
209,Maqdisī,مقدسي
211,Shinqīṭī,شنقيطي
212,Qazwīnī,قزويني
214,Ghaṭfānī,غطفاني
215,Balawī,بلوي
216,Nafrāwī,نفراوي
217,Zarwālī,زروالي
218,Anbārī,أنباري
220,Khirqī,خرقي
221,Dabīlī (?),دبيلي
223,Hūrīnī,هوريني
224,Idyaydbī (Ijīyjīybī),إجيجيبي
225,Lamtūnī,لمتوني
227,Qalqamī,قلقمي
228,Ḥājī,حاجي
229,Tinwājīwī,تنواجيوي
232,Idawʿīshī,إدوعيشي
234,Bisṭāmī,بسطامي
235,Ḥawḍī,حوضي
236,Būzālī,بوزالي
238,ʿImrīṭī,عمريطي
239,Ḥarīrī,حريري
243,Ābbayrī,إبياري
246,Fransī,فرنسي
248,Gaṣarī,كصري
250,Ummī,أمي
251,Fālī,فالي
252,Almāmī,المامي
253,Shurafāʾ,شرفي
255,Kūrī,كوري
256,ʿAqyānī,عقياني
257,Waʿīẓī,وعيظي
258,Barnāwī,برناوي
260,Kindī,كندي
263,Dhubyānī,ذبياني
264,Khazrajī,خزرجي
265,Shabalī,شبلي
266,Tājūrī,تاجوري
267,Mallāwī,ملاوي
268,Kanawī,كنوي
269,Gharbī,غربي
273,Ṭanṭarānī,طنطراني
274,Fāzāzī,فازازي
277,Tinbuktī,تنبكتي
279,Ḥanafī,حنفي
281,Fūtī,فوتي
284,Ḥamawī,حموي
287,Awjailī,أوجلي
291,Ilibīrī,إلبيري
293,Gharnāṭī,غرناطي
294,Fallātī,فلاتي
296,Kāzarūnī,كازروني
298,Sandabūsṭī,سندبسطي
299,Bājī,باجي
300,Tijānī,تجاني
301,Kābarī,كابري
302,Jurjānī,جرجاني
309,Falakī,فلكي
312,Nabhānī,نبهاني
315,Kawlakhī,كولخي
316,Zakzakī,زكزكي
318,Kashnāwī,كشناوي
327,Jawsaqī,جوسقي
333,Kūmāsī,كوماساوى
336,Bustānī,بستاني
343,Tilimsānī,تلمساني
347,Baghdādī,بغدادي
355,Ḥaysūbī,حيسوبي
356,Ṭulayṭilī,طليطلي
359,Nāzilī,نازلي
361,Baghawī,بغوي
362,Mandawarī,مندوري
364,ʿAwfī,عوفي
365,Filālī,فلالي
367,Sāʿatī,ساعتي
369,Tawzarī,توزري
370,Fazzānī,فزاني
372,Azharī,أزهري
380,Aghīghī,أغيغي
382,Bājūrī,باجوري
384,Luṭfī,لطفي
387,Badamāṣī,بدماسي
388,Kanū Yalwa,كنوا يلوا
390,Nafzī,نفزي
392,Istikhbānī,إستخباني
396,Qāḍī,قاضي
397,Sijistānī,سجستاني
398,Faytūrī,فيتوري
401,Khūbawī,خوبوي
405,ʿAbbāsī,عباسي
409,Kanūrī,كنوي
411,Ṭabarsī,تبرسي
413,Ṭūrūdī,طورودي
420,Ṣūfī,صوفي
428,Maʿālī,معالي
429,Bayḥūrī,بيحوري
430,Sabtī,سبتي
433,Jazūlī,جزولي
435,Falākī,فلاكي
437,Anṭākī,أنطاكي
440,Ḥuḍayrī,حضيري
442,Dimyāṭī,دمياطي
445,Ghafārī,غفاري
447,Wushīshī,وشيشي
448,Salghawī,سلغوي
449,Wālī,والي
459,Husaynī,حسيني
460,Wurī,وري
461,Dunqulāwī,دنقلاوي
463,Lubaydī,لبيدي
465,Kānamī,كانمي
469,Barkawī,بركوي
471,Mizwārī,مزواري
473,Ilīrī,إليري
474,Janāwī,جناوي
476,Imbaṭūnī,إمبطوني
477,Salībī,سليبي
478,Ṭabarī,طبري
479,Kūnātī,كوناتي
480,Jawzāmī,جوزامي
481,Sādhalī,ساذلي
482,Marrākushī,مراكشي
483,Kinātī,كناتي
484,Badkī,بدكي
485,Zaghawī,زغوي
488,Subkī,سبكي
490,Taknī,تكني
491,Fulānī,فلاني
492,Akhḍarī,أخضري
495,Birnī,برني
496,Sīnighālī (Senegali),سينغالي
497,Hamdī,حمدي
498,Bāqī,باقي
499,Dīnī,ديني
500,Kafaghī,كفغي
501,Ādamī,آدمي
502,Mughnī,مغني
503,Turrākh,تراخ
504,Nāṣirī,ناصري
506,ʿAbqarī,عبقري
509,Māridīnī,مارديني
510,Ḥamzāwī,حمزاوي
513,Ajmānī,اجماني
514,Shamshawī (?),شمشوي (?)
515,Sarsī,سرسي
516,Ṭūrī,توري
517,ʿAyādī,عيادي
518,Shayḥwī (Sayāwī),شياوي
519,Qabītalī,قبيتلي
521,Sūqī,سوقي
522,Arawānī,أرواني
523,Tūwātī,تواتي
527,Junaydī,جنيدي
530,Tabshīnī,تبشيني
532,Hārī,هاري
534,Wārī,واري
535,Tāghīghū,تاغيغو
537,Jājānī,جاجاني
538,Shīdī,شيدى
539,Kunārī,كناري
540,Falghankī,فلغنكي
541,Karkī,كركي
545,Funduqī,فندقي
546,Hāshimī,هاشمي
548,Sanūsī,سنوسي
550,Ṣaḥrāwī,صحراوي
551,Diyārbakrī,دياربكري
553,Gobir,غوبر
554,Ṣababī,صببي
557,Sukkutī,سكتي
558,Biydārī,بيداري
559,Maghwārī,مغواري
560,Sanaghatī,سنغتي
561,Tārī,تاري
562,Taghlabī,تغلبي
563,ʿAṣarī,عصري
565,Makkī,مكي
566,Saʿdī,سعدي
568,Mūridī,موردي
569,Lakhṣī,لخصي
570,Khazarī,خزري
572,Bākarī,باكري
574,Shahībī,شهيبي
578,Fārsī,فارسي
579,Tāshidbītī,تاشدبيتي
580,Bārtaylī,برتلي
581,Shantamarī,شنتمري
582,Makkūdī,مكودي
584,Waznīdī,وزنيدي
585,Mbākī (Mbacke),أباكي
586,Nasafī,نسفي
589,Qunānī,قناني
591,Sakhāwī,سخاوي
592,Sbāʿī,سباعي
593,Massūmī,مسومي
595,Wadghīrī,ودغيري
596,Kumlaylī,كمليلي
597,Bulīmī,بليمي
601,Hashtūkī,هشتوكي
603,Thaʿālibī,ثعالبي
606,Rifāʿī,رفاعي
607,Barzanjī,برزنجي
608,Intābī,إنتابي
609,Yadmusī,يدمسي
613,Tilīdī,تليدي
615,Naḥwī,نحوي
616,Sadrāwī,سدراوي
617,Daymānīyya,ديمانية
619,Hilālī,هلالي
620,Abharī,ابهري
621,Tāggāṭī,تاكاطي
623,Kalbī,كلبي
626,Ḥaḍramī,حضرمي
627,Fākihānī,فاكهاني
629,Yadālī,يدالي
630,Shamharūsī,شمهروسي
631,Laythī,ليثي
632,Yūnusī,يونسي
634,Rāzī,رازي
638,Yamānī,يماني
639,Qushayrī,قشيري
640,Maḥjūbī,محجوبي
641,Maqqarī,مقري
642,Sakubī,سكوبي
645,Qaysī,قيسي
646,Bazaydī,بزيدي
647,Shawkānī,شوكاني
648,Saghānī,صغاني
650,Jumlī,جملي
653,Safṭī,سفطي
656,Buṣūbī,بصوبي
659,Bārikī,باركلي
660,Ṭarbanāṭī,طربناطي
661,Zubaydī,زبيدي
663,Qaddūrī,قدوري
664,Jawharī,جوهري
666,Yāfiʿī,يافعي
668,Yāzijī,يازجي
669,ʿAlamī,علمي
670,Miṣrī,مصري
673,Shāmī,شامي
674,Ujhūrī,أجهوري
676,Dalīmī,دليمي
679,ʿAyanī,عيني‏
680,Mannī,امني
685,Būlāqī,بولاقي
689,Ashʿarī,أشعري
690,Ṭibārī,طباري
691,Rasmūkī,رسموكي
694,Shahrastānī,شهرستاني
695,Wasīṭī,وسيطي
696,Sullamī,سلمي
697,Nasāʾī,نسائي
698,Ḥabṭī,حبطي
700,Salāwī,سلاوي
701,Mattījī,متيجي
702,Muzammirī,مزمري
703,Jaznāʾī,جزنائي
704,ʿUqbānī,عقباني
705,Dimashqī,دمشقي
707,Fanzārī,فنزاري
708,Burlusī,برلسي
709,Urmawī,أرموي
710,Yūsī,يوسي / مغربي
711,Āmidī,أمدي
