ID,Parent ID,Subject,Arabic Subject
1,,Qurʾan: exegesis,قرآن: تفسير
2,,Qurʾan: sciences of,قرآن: علوم القرآن
3,,jurisprudence / belief: theology,فقه / عقيدة: توحيد
4,,science: chemistry,علوم: كيمياء
5,,diverse,متعدد
6,,hadith: sciences of: narration,حديث: علم الحديث: رواية
7,,Arabic language: grammar,لغة عربية: نحو
8,,literature: rhetoric,أدب: بلاغة
9,,Arabic language: morphology,لغة عربية: صرف
10,,Arabic language: lexicon,لغة عربية: معجم
11,,Arabic language: lexicon: dictionary,لغة عربية: معجم: حل رموز
12,,Arabic language,لغة عربية
13,,Arabic language: morphology: etymology,لغة عربية: صرف: إشتقاق
14,,Arabic language: grammar: conundrums,لغة عربية: نحو: ألغاز
15,,hadith: sciences of,حديث: علم الحديث
16,,jurisprudence,فقه
17,,jurisprudence: adjudication: judgements,فقه: قضاء: أحكام
18,,hadith: selections: diverse,حديث: مختارات متعدد
19,,Arabic language: morphology: triliteral verb,لغة عربية: صرف: فعل ثلاثي
20,,Qurʾan: sciences of: inimitability,قرآن: علوم القرآن: إعجاز
21,,Qurʾan: sciences of: abrogation,قرآن: علوم القرآن: ناسخ و منسوخ
22,,Qurʾan: sciences of: allegorical verses,قرآن: علوم القرآن: متشابه
24,,Qurʾan: orthography,قرآن: إملاء
25,,Qurʾan: recitation: articulation,قرآن: تجويد: مخارج الحروف
26,,Qurʾan: recitation: the Ten Reciters,قرآن: تجويد: القراءت العشرة
27,,Qurʾan: recitation,قرآن: تجويد
28,,literature: collection:  ʿAbd al-Wadūd b. Hammīh (al-Abyayrī),أدب: مجموع: عبد الودود بن حميه
29,,Qurʾan: recitation: the Seven Reciters,قرآن: تجويد: القراءت السبعة
30,,education: license,تربية: إجازة
31,,literature: stories: concubine,أدب: قصص: جارية
32,,"Qurʾan: recitation: articulation: the letter ""jim""",قرآن: تجويد: مخارج الحروف: الجيم
33,,Qurʾan: exegesis: the Opening,قرآن: تفسير: الفاتحة
34,,Qurʾan: recitation: Imam Nafiʿ,قرآن: تجويد: الإمام نافع
35,,Arabic language: philology,لغة عربية: علم اللغة
36,,literature: proverbs,أدب: أمثال
37,,jurisprudence: duties: hajj,فقه: عبادات: حج
38,,history: Mauritania: tribes: Samasid,تاريخ: موريتانية: قبائل: سماسد
39,,history: Maghrib: Fas,تاريخ: المغرب: فاس
40,,history: Maghrib: Idrisids,تاريخ: المغرب: ملوك الادارسة
41,,history: Maghrib: rulers,تاريخ: المغرب: ملوك
42,,jurisprudence: adjudication,فقه: قضاء
43,,jurisprudence: problems,فقه: مسائل
44,,jurisprudence: duties: prayer,فقه: عبادات: صلاة
45,,devotional: attributes of the Prophet,تحنث: شمائل نبوية
46,,"literature: pre-Islamic poetry:  ʻAmr ibn Mālik al-Azdī, ""Shanfara""","أدب: جاهلي: عمرو بن مالك الازدي ""الشنفري"""
47,,literature,أدب
48,,hadith: Malik,حديث: مالك
49,,hadith: collection,حديث: تدوين
50,,jurisprudence: principles,فقه: أصول
51,,hadith: al-Bukhari,حديث: البخاري
52,,jurisprudence: principles: law-schools: Maliki,فقه: أصول: مذاهب: مالكية
53,,Arabic language: rhetoric: semantics,لغة عربية: بلاغة: معان
54,,literature: pre-Islamic poetry (Jāhalī),أدب: شعر جاهلي
55,,literature: poetry: collection: Ghaylān,أدب: ديوان: غيلان
56,,Prophet Muhammad,سيرة نبوية
57,,belief: Prophet Muhammad: names,عقيدة: سيرة نبوية: أسماء
58,,belief: heresy,عقيدة: بدعة
59,,biography: collective: ʿulamāʾ: of Fās,تراجم: جماعية: علماء: فاس
60,,hadith,حديث
61,,hadith: sciences of: terminology,حديث: علم الحديث: مصطلح
62,,hadith: sciences of: pre-Islamic people,حديث: علم الحديث: أهل الآثار
64,,hadith: sciences of: principles,حديث: علم الحديث: أصول
65,,hadith: sciences of: isnad (chain of authority),حديث: علم الحديث: إسناد
67,,biography: Ahmad ibn Hanbal,تراجم: أحمد ابن حنبل
68,,hadith: sciences of: types,حديث: علم الحديث: أنواع
69,,devotional: praise of hadith,تحنث: مدح علم الحديث
70,,Sufism,تصوف
71,,belief: debate,عقيدة: مناظرة
72,,biography: collective: mystics,تراجم: جماعية: متصوفة
73,,jurisprudence: diverse,فقه: متعدد
74,,belief: theology: names of Allah,عقيدة: توحيد: أسماء الله الحسني
75,,jurisprudence: inheritance,فقه: ميراث
76,,jurisprudence: principles: law-schools: Shafiʿi,فقه: أصول: مذاهب: شافعية
77,,biography: collective: ʿulamāʾ: Maliki,تراجم: جماعية: علماء: مالكيون
78,,belief,عقيدة
79,,genealogy,أنساب
80,,biography: collective: ʿulamāʾ,تراجم: جماعية: علماء
81,,jurisprudence: duties: zakat,فقه: عبادات: زكاة
82,,Sufism: counsel / exhortation,تصوف : وعظ وإرشاد
84,,science: zoology: animal stories,علوم: حيوان: قصة
85,,belief: theology,عقيدة: توحيد
86,,history: Maghrib: Marrakash,تاريخ: المغرب: مراكش
87,,medicine: Prophetic,طب: نبوي
88,,logic,منطق
89,,Sufism: intercession,تصوف: توسل
90,,jurisprudence: marriage: child-raising: puberty (duties concerning),فقه: نكاح: حضانة: بلوغ
91,,belief: theology: profession of faith,عقيدة: توحيد: كلمة الشهادة
93,,literature: poetry: collection: ʿAbd al-Raḥīm al-Buraʿī,أدب: ديوان: البرعي
94,,devotional: praise of the Prophet,تحنث: مدح النبي
95,,jurisprudence: marriage: manners,فقه: نكاح: آداب
96,,Prophet Muhammad: campaigns,سيرة نبوية: غزوات
97,,jurisprudence: transactions: sales,فقه: معاملات: بيوع
98,,jurisprudence / belief,فقه / عقيدة
100,,devotional: prayer to the Prophet,تحنث: صلاة علي النبي
101,,literature: eulogy: eminent Egyptians,أدب: مدح: أعيان مصريين
102,,science: arithmetic: calculating time,علوم: حساب: حساب الزمن
103,,jurisprudence: sanctions: punishments,فقه: عقوبات: حدود
104,,hadith: sciences of: obscure hadith,حديث: علم الحديث: غريب الحديث
105,,hadith: Nawawiyya,حديث: النووية
106,,Prophet Muhammad: campaigns / history: early years of Islam: Khalifs,سيرة نبوية: غزوات / تاريخ: سلف: خلفاء والراشدون
107,,Prophet Muhammad: companions,سيرة نبوية: صحابة
108,,ethics: spiritual counsel,أخلاق: إرشاد
109,,science: arithmetic,علوم: حساب
110,,ethics: good deeds,أخلاق: مكارم
111,,science: human body,علوم: جسم الانسان
112,,economy: taxation,إقتصاد: ضرائب الدولة
